# sentence_label=How are you?
# timestamp=1763200393.3011534
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=80
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2419 2733 2687 2589 2649 | ACC: 9188 10540 8264 | GYRO: -1491 5976 8135 | GDP=10203.621
FLEX: 2437 2751 2714 2583 2651 | ACC: 10616 10744 8432 | GYRO: -2503 3483 6790 | GDP=8031.214
FLEX: 2432 2736 2667 2583 2624 | AEX: 2416 2715 2591 2559 2539 | ACC: 11096 9608 9208 | GYRO: 3511 -1962 -26 | GDP=4022.094
FLEX: 2427 2714 2640 2559 2602 | ACC: 12508 9820 6528 | GYRO: 7207 1991 -10631 | GDP=12997.042
FLEX: 2406 2688 2619 2557 2559 | ACC: 10744 10188 5756 | GYRO: 6357 1875 -17877 | GDP=19066.049
FLEX: 2402 2700 2660 2559 2612 | ACC: 10288 9708 4212 | GYRO: 3351 5944 -27523 | GDP=28356.230
FLEX: 2412 2683 2657 2555 2633 | ACC: 5664 14088 172 | GYRO: -3856 2747 -32768 | GDP=33108.254
FLEX: 2410 2707 2666 2559 2631 | ACC: 6236 5684 3456 | GYRO: -9192 18540 -32768 | GDP=38755.211
FLEX: 2403 2693 2618 2559 2607 | ACC: -1796 12500 1780 | GYRO: -24916 5106 -32768 | GDP=41480.355
FLEX: 2394 2705 2656 2588 2609 | ACC: -16028 -1668 9156 | GYRO: -18936 25720 -32768 | GDP=45758.414
FLEX: 2388 2698 2635 2559 2606 | ACC: -24896 -5692 8116 | GYRO: -7549 546 -17628 | GDP=19184.158
FLEX: 2397 2695 2633 2559 2611 | ACC: -26200 244 10740 | GYRO: 3536 -6106 -4066 | GDP=8143.641
FLEX: 2387 2688 2635 2559 2597 | ACC: -17484 3128 8104 | GYRO: 1123 1701 1876 | GDP=2770.182
FLEX: 2389 2706 2640 2559 2609 | ACC: -18452 5168 10552 | GYRO: 5991 -3125 7156 | GDP=9842.055
FLEX: 2398 2677 2590 2559 2583 | ACC: -14456 -1312 13812 | GYRO: 7557 -2897 7975 | GDP=11362.283
FLEX: 2390 2675 2611 2559 2591 | ACC: -17836 6896 11692 | GYRO: 15360 -2520 15714 | GDP=22118.088
FLEX: 2415 2657 2627 2556 2559 | ACC: -13944 8120 8064 | GYRO: 18038 4422 26262 | GDP=32165.451
FLEX: 2435 2640 2606 2559 2590 | ACC: -10444 9180 10092 | GYRO: 18601 -6947 27707 | GDP=34087.180
FLEX: 2475 2608 2630 2559 2583 | ACC: -6804 11880 3832 | GYRO: 22080 -8548 31737 | GDP=39595.855
FLEX: 2512 2609 2620 2550 2588 | ACC: 1532 12880 -2504 | GYRO: 18026 -12629 27763 | GDP=35428.980
FLEX: 2498 2544 2643 2559 2559 | ACC: 5424 12924 -2672 | GYRO: 11895 -2072 18286 | GDP=21912.600
FLEX: 2512 2559 2637 2559 2559 | ACC: 7876 14672 -4528 | GYRO: 5940 -1035 8972 | GDP=10809.792
FLEX: 2509 2551 2625 2542 2559 | ACC: 8000 12952 -3380 | GYRO: 1450 427 5 | GDP=1511.573
FLEX: 2512 2507 2610 2582 2595 | ACC: 5672 15292 -3488 | GYRO: -3662 3576 -10066 | GDP=11292.581
FLEX: 2495 2451 2592 2540 2556 | ACC: 1588 14136 1204 | GYRO: -4639 3225 -13075 | GDP=14243.475
FLEX: 2507 0 2608 2544 2551 | ACC: 1688 17440 -3516 | GYRO: -13269 2540 -18683 | GDP=23055.855
FLEX: 2494 0 2608 2525 2585 | ACC: -3952 10488 5544 | GYRO: -14820 7201 -24989 | GDP=29932.205
FLEX: 2541 0 2600 2548 2517 | ACC: -4688 15364 -1764 | GYRO: -16222 11128 -24006 | GDP=31036.650
