# label=Five
# timestamp=1763139411.6885426
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2407 2063 2189 2075 2192 | ACC: -11332 5464 8496 | GYRO: -1036 1513 1198 | GDP=2190.358
FLEX: 2445 2094 2178 2064 2192 | ACC: -12124 5440 10920 | GYRO: 860 -928 -385 | GDP=1322.501
FLEX: 2427 2081 2141 2060 2214 | ACC: -10912 5784 8892 | GYRO: -318 -118 246 | GDP=419.004
FLEX: 2433 2128 2173 2064 2194 | ACC: -11652 5224 10904 | GYRO: -789 327 184 | GDP=873.674
FLEX: 2435 2082 2176 2075 2212 | ACC: -11152 4984 10364 | GYRO: -527 81 197 | GDP=568.418
FLEX: 2431 2073 2177 2077 2199 | ACC: -11088 5032 10800 | GYRO: -93 -479 -215 | GDP=533.212
FLEX: 2422 2064 2176 2096 2224 | ACC: -11492 4928 10608 | GYRO: 830 747 -60 | GDP=1118.262
FLEX: 2422 2093 2190 2055 2208 | ACC: -11436 5276 10016 | GYRO: 979 363 -32 | GDP=1044.621
FLEX: 2432 2085 2192 2034 2192 | ACC: -11640 5216 10516 | GYRO: 1012 1712 95 | GDP=1991.008
FLEX: 2432 2099 2178 2069 2195 | ACC: -11872 5256 9960 | GYRO: 1124 892 309 | GDP=1467.829
FLEX: 2426 2093 2207 2094 2207 | ACC: -11712 5204 10140 | GYRO: 1005 663 260 | GDP=1231.744
FLEX: 2446 2074 2193 2064 2207 | ACC: -11416 5364 9884 | GYRO: 1679 436 -156 | GDP=1741.687
FLEX: 2420 2099 2194 2081 2224 | ACC: -12132 5640 9828 | GYRO: 1056 786 453 | GDP=1392.171
FLEX: 2419 2092 2177 2114 2221 | ACC: -12072 5484 9664 | GYRO: 1064 459 -117 | GDP=1164.674
FLEX: 2406 2064 2143 2064 2219 | ACC: -11740 5724 8836 | GYRO: 638 2633 482 | GDP=2751.737
FLEX: 2422 2100 2168 2067 2218 | ACC: -12792 5544 10540 | GYRO: 587 2557 367 | GDP=2649.058
FLEX: 2407 2067 2204 2093 2190 | ACC: -11992 5432 8572 | GYRO: 473 1962 790 | GDP=2167.319
FLEX: 2431 2093 2178 2045 2206 | ACC: -12588 5504 9512 | GYRO: 1272 4071 1155 | GDP=4418.716
FLEX: 2416 2112 2145 2066 2202 | ACC: -12064 5876 8236 | GYRO: 1240 4651 1388 | GDP=5009.585
FLEX: 2421 2083 2175 2075 2171 | ACC: -12984 5924 7468 | GYRO: 176 11126 2631 | GDP=11434.203
FLEX: 2414 2066 2181 2101 2204 | ACC: -13412 6340 6224 | GYRO: 747 10888 3603 | GDP=11492.961
FLEX: 2419 2078 2176 2054 2195 | ACC: -15188 6464 6520 | GYRO: 1002 13371 4152 | GDP=14036.622
FLEX: 2413 2070 2160 2064 2192 | ACC: -15096 7032 4756 | GYRO: -7 10691 4130 | GDP=11460.996
FLEX: 2416 2107 2172 2057 2171 | ACC: -14604 6812 4740 | GYRO: 159 7026 3066 | GDP=7667.484
FLEX: 2417 2097 2157 2071 2174 | ACC: -13584 7496 3428 | GYRO: 1382 3105 3509 | GDP=4885.083
