# label=One
# timestamp=1763135094.6605988
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2505 2235 2320 2335 2337 | ACC: -4152 8952 13868 | GYRO: 100 -536 44 | GDP=547.021
FLEX: 2519 2254 2366 2315 2370 | ACC: -3920 8464 13868 | GYRO: 537 -341 484 | GDP=799.316
FLEX: 2523 2258 2360 2339 2390 | ACC: -3164 8640 13416 | GYRO: 937 -80 27 | GDP=940.796
FLEX: 2535 2257 2325 2311 2377 | ACC: -3080 8696 13464 | GYRO: 955 309 -369 | GDP=1069.424
FLEX: 2512 2262 2323 2309 2380 | ACC: -3960 9160 13628 | GYRO: 325 -29 -209 | GDP=387.488
FLEX: 2526 2257 2350 2326 2367 | ACC: -3876 8464 13872 | GYRO: 464 -501 436 | GDP=810.181
FLEX: 2495 2278 2331 2305 2365 | ACC: -3352 8672 13548 | GYRO: 873 -54 27 | GDP=875.085
FLEX: 2503 2253 2333 2339 2379 | ACC: -3252 8760 13544 | GYRO: 834 179 -328 | GDP=913.882
FLEX: 2512 2266 2335 2306 2379 | ACC: -3496 9092 13336 | GYRO: 456 429 -353 | GDP=718.739
FLEX: 2524 2270 2351 2310 2352 | ACC: -3952 8476 13848 | GYRO: 125 -685 194 | GDP=722.832
FLEX: 2514 2240 2336 2317 2384 | ACC: -3420 8524 13504 | GYRO: 820 -281 170 | GDP=883.324
FLEX: 2539 2269 2340 2326 2365 | ACC: -3264 8740 13628 | GYRO: 1034 136 -252 | GDP=1072.919
FLEX: 2502 2256 2307 2350 2336 | ACC: -3304 8788 13572 | GYRO: 973 501 -492 | GDP=1199.914
FLEX: 2525 2258 2326 2334 2379 | ACC: -3960 8812 13872 | GYRO: 448 -379 -22 | GDP=587.221
FLEX: 2489 2258 2320 2320 2346 | ACC: -3696 8500 13476 | GYRO: 909 -152 213 | GDP=945.914
FLEX: 2519 2255 2314 2336 2368 | ACC: -3268 8860 13404 | GYRO: 1062 169 -114 | GDP=1081.388
FLEX: 2502 2244 2323 2320 2373 | ACC: -3188 8900 13244 | GYRO: 827 325 -318 | GDP=943.757
FLEX: 2530 2251 2342 2333 2370 | ACC: -3940 9000 13716 | GYRO: 182 -454 98 | GDP=498.843
FLEX: 2496 2245 2324 2320 2379 | ACC: -3840 8540 13612 | GYRO: 660 -160 368 | GDP=772.414
